gamma,rank,undefended_acc,defended_acc,undefended_asr,defended_asr
0.8,0,0.39,0.502,0.092,0.166
0.8,1,0.534,0.548,0.054,0.07
0.8,2,0.462,0.574,0.07,0.07
0.8,3,0.442,0.59,0.064,0.052
0.8,4,0.41,0.598,0.072,0.032
0.8,5,0.35,0.584,0.076,0.022
0.8,6,0.382,0.59,0.072,0.022
0.8,7,0.358,0.598,0.072,0.022
0.8,8,0.302,0.598,0.076,0.018
0.8,9,0.134,0.614,0.092,0.018
1.0,0,0.414,0.554,0.086,0.056
1.0,1,0.532,0.55,0.058,0.044
1.0,2,0.454,0.574,0.068,0.054
1.0,3,0.43,0.572,0.07,0.036
1.0,4,0.41,0.574,0.068,0.042
1.0,5,0.372,0.552,0.078,0.042
1.0,6,0.392,0.582,0.076,0.042
1.0,7,0.366,0.572,0.082,0.052
1.0,8,0.286,0.576,0.068,0.044
1.0,9,0.152,0.58,0.092,0.038
