gamma,rank,undefended_acc,defended_acc,undefended_asr,defended_asr
0.8,0,0.564,0.512,0.074,0.144
0.8,1,0.606,0.564,0.064,0.05
0.8,2,0.598,0.586,0.082,0.054
0.8,3,0.566,0.592,0.078,0.036
0.8,4,0.59,0.604,0.082,0.026
0.8,5,0.538,0.588,0.088,0.018
0.8,6,0.534,0.598,0.078,0.018
0.8,7,0.504,0.618,0.074,0.022
0.8,8,0.458,0.604,0.088,0.018
0.8,9,0.386,0.612,0.106,0.018
1.0,0,0.604,0.574,0.07,0.024
1.0,1,0.622,0.56,0.066,0.04
1.0,2,0.574,0.566,0.074,0.038
1.0,3,0.566,0.584,0.08,0.028
1.0,4,0.556,0.588,0.082,0.036
1.0,5,0.536,0.57,0.084,0.028
1.0,6,0.554,0.564,0.084,0.028
1.0,7,0.5,0.574,0.076,0.028
1.0,8,0.46,0.58,0.098,0.04
1.0,9,0.404,0.552,0.108,0.03
