gamma,rank,undefended_acc,defended_acc,undefended_asr,defended_asr
0.8,0,0.44,0.45,0.2,0.345
0.8,1,0.505,0.535,0.155,0.255
0.8,2,0.515,0.58,0.125,0.235
0.8,3,0.5,0.575,0.11,0.18
0.8,4,0.55,0.635,0.115,0.185
0.8,5,0.545,0.61,0.105,0.155
0.8,6,0.54,0.61,0.12,0.145
0.8,7,0.515,0.63,0.105,0.13
0.8,8,0.505,0.63,0.12,0.15
0.8,9,0.5,0.62,0.13,0.15
1.0,0,0.44,0.61,0.225,0.17
1.0,1,0.48,0.595,0.135,0.205
1.0,2,0.52,0.595,0.135,0.175
1.0,3,0.5,0.6,0.12,0.155
1.0,4,0.555,0.615,0.12,0.155
1.0,5,0.56,0.57,0.105,0.19
1.0,6,0.515,0.59,0.105,0.175
1.0,7,0.535,0.6,0.085,0.165
1.0,8,0.51,0.575,0.1,0.16
1.0,9,0.46,0.585,0.14,0.17
